0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/queryIdUserAction?enteruserid=&searchuser=%E6%9F%A5%E8%AF%A2 HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:37 +0800] "GET /dsgqxxw/JSP/admin_modify_user.jsp?&userid=1 HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:05:24 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:05:24 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:05:24 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:05:24 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:05:24 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:05:24 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:05:24 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:05:25 +0800] "GET /dsgqxxw/queryIdUserAction?enteruserid=&searchuser=%E6%9F%A5%E8%AF%A2 HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:05:27 +0800] "GET /dsgqxxw/JSP/admin_modify_user.jsp?&userid=1 HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:07:25 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:07:25 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:07:25 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:07:25 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:07:25 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:07:25 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:07:25 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:07:26 +0800] "GET /dsgqxxw/queryIdUserAction?enteruserid=&searchuser=%E6%9F%A5%E8%AF%A2 HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:07:27 +0800] "GET /dsgqxxw/JSP/admin_modify_user.jsp?&userid=1 HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:11:30 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:11:30 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:11:30 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:11:30 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:11:30 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:11:30 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:11:30 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:11:30 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:11:30 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:11:30 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:11:30 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:11:30 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
